(1, 1, 0)
(1.05733, 1.05569, 0)
(1.1171, 1.11039, 0)
(1.1792, 1.16379, 0)
(1.2435, 1.21555, 0)
(1.30984, 1.26531, 0)
(1.378, 1.31272, 0)
(1.44775, 1.3574, 0)
(1.51882, 1.39899, 0)
(1.59091, 1.43714, 0)
(1.66369, 1.47151, 0)
(1.7368, 1.50177, 0)
(1.80987, 1.52762, 0)
(1.88251, 1.54882, 0)
(1.95433, 1.56514, 0)
(2.02492, 1.57641, 0)
(2.09388, 1.58251, 0)
(2.16085, 1.58339, 0)
(2.22545, 1.57902, 0)
(2.28736, 1.56946, 0)
(2.34626, 1.55481, 0)
(2.4019, 1.53522, 0)
(2.45404, 1.51089, 0)
(2.5025, 1.48207, 0)
(2.54715, 1.44904, 0)
(2.58789, 1.41211, 0)
(2.62617, 1.37733, 0)
(2.66357, 1.35025, 0)
(2.70023, 1.33052, 0)
(2.73627, 1.31783, 0)
(2.77181, 1.31195, 0)
(2.80694, 1.31265, 0)
(2.84178, 1.31979, 0)
(2.87641, 1.33323, 0)
(2.91094, 1.3529, 0)
(2.94544, 1.37872, 0)
(2.98002, 1.41069, 0)
(3.01475, 1.4488, 0)
(3.04972, 1.49311, 0)
(3.08502, 1.54367, 0)
(3.12073, 1.6006, 0)
(3.15695, 1.66403, 0)
(3.19377, 1.73412, 0)
(3.23128, 1.81107, 0)
(3.26958, 1.89512, 0)
(3.30878, 1.98655, 0)
(3.34899, 2.08566, 0)
(3.39031, 2.19283, 0)
(3.43289, 2.30847, 0)
(3.47686, 2.43303, 0)
(3.52235, 2.56705, 0)
(3.56923, 2.70411, 0)
(3.61722, 2.83724, 0)
(3.66629, 2.96617, 0)
(3.7164, 3.09062, 0)
(3.76749, 3.21033, 0)
(3.81954, 3.32504, 0)
(3.87247, 3.43448, 0)
(3.92623, 3.53842, 0)
(3.98078, 3.63661, 0)
(4.03603, 3.72882, 0)
(4.09193, 3.81485, 0)
(4.1484, 3.89447, 0)
(4.20538, 3.96751, 0)
(4.26278, 4.0338, 0)
(4.32053, 4.09318, 0)
(4.37856, 4.1455, 0)
(4.43678, 4.19066, 0)
(4.4951, 4.22854, 0)
(4.55345, 4.25908, 0)
(4.61174, 4.28221, 0)
(4.6699, 4.2979, 0)
(4.72783, 4.30612, 0)
(4.78546, 4.30688, 0)
(4.84271, 4.30022, 0)
(4.89949, 4.28616, 0)
(4.95573, 4.26478, 0)
(5.01135, 4.23617, 0)
(5.06629, 4.20043, 0)
(5.12047, 4.15769, 0)
(5.17383, 4.10809, 0)
(5.2263, 4.05179, 0)
(5.27783, 3.98895, 0)
(5.32835, 3.91978, 0)
(5.37782, 3.84447, 0)
(5.42619, 3.76323, 0)
(5.47342, 3.6763, 0)
(5.51946, 3.58389, 0)
(5.56429, 3.48626, 0)
(5.60787, 3.38365, 0)
(5.65017, 3.27632, 0)
(5.69117, 3.16452, 0)
(5.73085, 3.04851, 0)
(5.76921, 2.92855, 0)
(5.80622, 2.8049, 0)
(5.84189, 2.67783, 0)
(5.8762, 2.54759, 0)
(5.90917, 2.41443, 0)
(5.94078, 2.27862, 0)
(5.97106, 2.14039, 0)
